login,name,company,followers,following,posts_30d,topics,bio
90,90,,30,30,9,"[""government""]",
91,91,,10,10,4,"[""company""]",
92,92,,6,6,7,"[""company""]",
93,93,,2,2,2,"[""politician""]",
94,94,,20,20,0,"[""government""]",
95,95,,48,48,0,"[""politician""]",
96,96,,6,6,3,"[""tvshow""]",
97,97,,4,4,2,"[""politician""]",
98,98,,20,20,7,"[""government""]",
99,99,,32,32,3,"[""tvshow""]",
100,100,,10,10,2,"[""government""]",
101,101,,45,45,1,"[""tvshow""]",
102,102,,13,13,8,"[""company""]",
103,103,,19,19,2,"[""politician""]",
104,104,,30,30,0,"[""government""]",
105,105,,8,8,9,"[""company""]",
106,106,,58,58,5,"[""politician""]",
107,107,,1,1,0,"[""company""]",
108,108,,2,2,2,"[""politician""]",
109,109,,31,31,8,"[""politician""]",
110,110,,16,16,1,"[""government""]",
111,111,,2,2,2,"[""tvshow""]",
112,112,,5,5,5,"[""government""]",
113,113,,46,46,11,"[""politician""]",
114,114,,10,10,4,"[""politician""]",
115,115,,6,6,6,"[""company""]",
116,116,,5,5,11,"[""politician""]",
117,117,,1,1,9,"[""tvshow""]",
118,118,,5,5,2,"[""politician""]",
119,119,,4,4,11,"[""tvshow""]",
120,120,,22,22,1,"[""government""]",
121,121,,9,9,3,"[""government""]",
122,122,,14,14,6,"[""government""]",
123,123,,27,27,0,"[""government""]",
124,124,,9,9,11,"[""company""]",
125,125,,5,5,9,"[""company""]",
126,126,,23,23,7,"[""company""]",
127,127,,71,71,2,"[""company""]",
128,128,,27,27,6,"[""company""]",
129,129,,26,26,9,"[""politician""]",
130,130,,26,26,6,"[""government""]",
131,131,,4,4,3,"[""company""]",
132,132,,5,5,8,"[""company""]",
133,133,,45,45,3,"[""government""]",
134,134,,21,21,9,"[""company""]",
135,135,,6,6,4,"[""company""]",
136,136,,6,6,1,"[""government""]",
137,137,,1,1,2,"[""government""]",
138,138,,34,34,10,"[""politician""]",
139,139,,3,3,7,"[""company""]",
140,140,,4,4,5,"[""tvshow""]",
141,141,,17,17,10,"[""tvshow""]",
142,142,,22,22,3,"[""company""]",
143,143,,3,3,10,"[""government""]",
144,144,,5,5,9,"[""politician""]",
145,145,,16,16,7,"[""politician""]",
146,146,,2,2,5,"[""politician""]",
147,147,,12,12,1,"[""government""]",
148,148,,10,10,5,"[""government""]",
149,149,,7,7,5,"[""company""]",
150,150,,18,18,5,"[""company""]",
151,151,,13,13,5,"[""tvshow""]",
152,152,,9,9,6,"[""tvshow""]",
153,153,,6,6,11,"[""tvshow""]",
154,154,,6,6,8,"[""government""]",
155,155,,13,13,11,"[""politician""]",
156,156,,14,14,1,"[""politician""]",
157,157,,28,28,11,"[""government""]",
158,158,,1,1,1,"[""company""]",
159,159,,42,42,5,"[""government""]",
160,160,,11,11,1,"[""government""]",
161,161,,1,1,9,"[""tvshow""]",
162,162,,3,3,2,"[""politician""]",
163,163,,5,5,8,"[""government""]",
164,164,,7,7,11,"[""company""]",
165,165,,21,21,9,"[""government""]",
166,166,,4,4,8,"[""government""]",
167,167,,28,28,0,"[""government""]",
168,168,,3,3,9,"[""company""]",
169,169,,4,4,10,"[""government""]",
170,170,,5,5,5,"[""government""]",
171,171,,6,6,1,"[""government""]",
172,172,,2,2,0,"[""company""]",
173,173,,60,60,4,"[""government""]",
174,174,,5,5,3,"[""company""]",
175,175,,5,5,5,"[""tvshow""]",
176,176,,56,56,11,"[""politician""]",
177,177,,3,3,11,"[""government""]",
178,178,,9,9,5,"[""tvshow""]",
179,179,,5,5,8,"[""company""]",
180,180,,15,15,7,"[""politician""]",
181,181,,5,5,6,"[""government""]",
182,182,,10,10,8,"[""government""]",
183,183,,14,14,4,"[""government""]",
184,184,,6,6,2,"[""company""]",
185,185,,13,13,0,"[""tvshow""]",
186,186,,33,33,0,"[""politician""]",
187,187,,142,142,11,"[""politician""]",
188,188,,11,11,6,"[""government""]",
189,189,,7,7,4,"[""government""]",
190,190,,5,5,6,"[""company""]",
191,191,,28,28,5,"[""politician""]",
192,192,,1,1,1,"[""government""]",
193,193,,3,3,7,"[""company""]",
194,194,,2,2,5,"[""company""]",
195,195,,5,5,4,"[""politician""]",
196,196,,35,35,8,"[""government""]",
197,197,,134,134,6,"[""government""]",
198,198,,7,7,7,"[""company""]",
199,199,,9,9,4,"[""company""]",
200,200,,6,6,3,"[""politician""]",
201,201,,7,7,10,"[""company""]",
202,202,,2,2,5,"[""politician""]",
203,203,,19,19,0,"[""politician""]",
204,204,,4,4,6,"[""company""]",
205,205,,17,17,3,"[""company""]",
206,206,,26,26,10,"[""government""]",
207,207,,4,4,8,"[""government""]",
208,208,,3,3,2,"[""government""]",
209,209,,2,2,1,"[""politician""]",
210,210,,21,21,8,"[""politician""]",
211,211,,3,3,9,"[""politician""]",
212,212,,133,133,4,"[""politician""]",
213,213,,17,17,7,"[""government""]",
214,214,,4,4,4,"[""company""]",
215,215,,10,10,5,"[""government""]",
216,216,,42,42,10,"[""politician""]",
217,217,,23,23,10,"[""politician""]",
218,218,,23,23,5,"[""government""]",
219,219,,6,6,3,"[""government""]",
220,220,,5,5,2,"[""politician""]",
221,221,,7,7,10,"[""company""]",
222,222,,26,26,5,"[""government""]",
223,223,,4,4,1,"[""company""]",
224,224,,18,18,1,"[""government""]",
225,225,,4,4,6,"[""politician""]",
226,226,,8,8,5,"[""tvshow""]",
227,227,,31,31,5,"[""company""]",
228,228,,9,9,3,"[""government""]",
229,229,,14,14,11,"[""politician""]",
230,230,,24,24,10,"[""politician""]",
231,231,,5,5,9,"[""politician""]",
232,232,,2,2,10,"[""government""]",
233,233,,13,13,0,"[""tvshow""]",
234,234,,15,15,4,"[""politician""]",
235,235,,6,6,11,"[""government""]",
236,236,,8,8,11,"[""company""]",
237,237,,9,9,5,"[""company""]",
238,238,,53,53,2,"[""government""]",
239,239,,11,11,1,"[""politician""]",
240,240,,30,30,1,"[""government""]",
241,241,,7,7,2,"[""politician""]",
242,242,,10,10,0,"[""government""]",
243,243,,3,3,0,"[""company""]",
244,244,,4,4,10,"[""politician""]",
245,245,,1,1,3,"[""company""]",
246,246,,26,26,3,"[""politician""]",
247,247,,11,11,10,"[""tvshow""]",
248,248,,17,17,3,"[""company""]",
249,249,,1,1,0,"[""government""]",
250,250,,5,5,6,"[""company""]",
251,251,,1,1,11,"[""company""]",
252,252,,31,31,4,"[""government""]",
253,253,,1,1,11,"[""government""]",
254,254,,32,32,1,"[""government""]",
255,255,,2,2,9,"[""company""]",
256,256,,14,14,0,"[""politician""]",
257,257,,29,29,3,"[""politician""]",
258,258,,3,3,10,"[""tvshow""]",
259,259,,1,1,3,"[""company""]",
260,260,,4,4,2,"[""government""]",
261,261,,3,3,0,"[""tvshow""]",
262,262,,11,11,5,"[""company""]",
263,263,,1,1,0,"[""tvshow""]",
264,264,,11,11,8,"[""tvshow""]",
265,265,,3,3,4,"[""tvshow""]",
266,266,,2,2,11,"[""government""]",
267,267,,7,7,2,"[""tvshow""]",
268,268,,8,8,7,"[""politician""]",
269,269,,2,2,11,"[""politician""]",
270,270,,29,29,11,"[""government""]",
271,271,,1,1,9,"[""company""]",
272,272,,2,2,0,"[""politician""]",
273,273,,6,6,8,"[""company""]",
274,274,,3,3,4,"[""tvshow""]",
275,275,,2,2,2,"[""tvshow""]",
276,276,,2,2,7,"[""government""]",
277,277,,23,23,0,"[""government""]",
278,278,,5,5,6,"[""company""]",
279,279,,1,1,8,"[""company""]",
280,280,,21,21,3,"[""company""]",
281,281,,9,9,9,"[""tvshow""]",
282,282,,1,1,0,"[""tvshow""]",
283,283,,32,32,1,"[""politician""]",
284,284,,2,2,7,"[""politician""]",
285,285,,30,30,11,"[""company""]",
286,286,,5,5,8,"[""company""]",
287,287,,16,16,8,"[""company""]",
288,288,,6,6,4,"[""company""]",
289,289,,18,18,4,"[""government""]",
290,290,,174,174,11,"[""politician""]",
291,291,,5,5,5,"[""politician""]",
292,292,,4,4,0,"[""government""]",
293,293,,59,59,8,"[""politician""]",
294,294,,2,2,4,"[""government""]",
295,295,,2,2,0,"[""tvshow""]",
296,296,,47,47,4,"[""government""]",
297,297,,8,8,7,"[""tvshow""]",
298,298,,16,16,4,"[""tvshow""]",
299,299,,2,2,2,"[""government""]",
300,300,,9,9,5,"[""government""]",
301,301,,24,24,5,"[""government""]",
302,302,,13,13,8,"[""politician""]",
303,303,,6,6,6,"[""government""]",
304,304,,56,56,0,"[""politician""]",
305,305,,35,35,3,"[""government""]",
306,306,,41,41,2,"[""company""]",
307,307,,81,81,6,"[""government""]",
308,308,,16,16,10,"[""government""]",
309,309,,7,7,7,"[""government""]",
310,310,,1,1,5,"[""government""]",
311,311,,14,14,10,"[""politician""]",
312,312,,3,3,5,"[""company""]",
313,313,,2,2,7,"[""government""]",
314,314,,2,2,3,"[""politician""]",
315,315,,10,10,4,"[""government""]",
316,316,,2,2,2,"[""tvshow""]",
317,317,,9,9,6,"[""politician""]",
318,318,,7,7,3,"[""company""]",
319,319,,9,9,5,"[""company""]",
320,320,,2,2,1,"[""government""]",
321,321,,46,46,1,"[""politician""]",
322,322,,6,6,4,"[""politician""]",
323,323,,31,31,7,"[""government""]",
324,324,,6,6,2,"[""government""]",
325,325,,58,58,4,"[""government""]",
326,326,,47,47,6,"[""government""]",
327,327,,3,3,3,"[""company""]",
328,328,,12,12,7,"[""company""]",
329,329,,9,9,4,"[""government""]",
330,330,,8,8,1,"[""company""]",
331,331,,6,6,11,"[""company""]",
332,332,,6,6,10,"[""politician""]",
333,333,,10,10,3,"[""company""]",
334,334,,25,25,0,"[""politician""]",
335,335,,13,13,7,"[""government""]",
336,336,,10,10,3,"[""government""]",
337,337,,23,23,4,"[""government""]",
338,338,,12,12,11,"[""government""]",
339,339,,53,53,5,"[""government""]",
340,340,,3,3,2,"[""company""]",
341,341,,25,25,2,"[""government""]",
342,342,,14,14,5,"[""politician""]",
343,343,,42,42,2,"[""government""]",
344,344,,3,3,5,"[""tvshow""]",
345,345,,3,3,7,"[""government""]",
346,346,,19,19,10,"[""government""]",
347,347,,32,32,6,"[""government""]",
348,348,,3,3,4,"[""company""]",
349,349,,15,15,11,"[""company""]",
350,350,,37,37,2,"[""government""]",
351,351,,14,14,1,"[""company""]",
352,352,,5,5,10,"[""company""]",
353,353,,3,3,8,"[""politician""]",
354,354,,1,1,10,"[""tvshow""]",
355,355,,6,6,8,"[""company""]",
356,356,,93,93,9,"[""government""]",
357,357,,1,1,6,"[""tvshow""]",
358,358,,2,2,9,"[""government""]",
359,359,,7,7,11,"[""company""]",
360,360,,8,8,3,"[""politician""]",
361,361,,25,25,8,"[""politician""]",
362,362,,14,14,5,"[""politician""]",
363,363,,6,6,0,"[""company""]",
364,364,,151,151,1,"[""politician""]",
365,365,,81,81,1,"[""politician""]",
366,366,,7,7,9,"[""tvshow""]",
367,367,,36,36,0,"[""tvshow""]",
368,368,,36,36,3,"[""government""]",
369,369,,66,66,8,"[""politician""]",
370,370,,27,27,7,"[""government""]",
371,371,,21,21,11,"[""government""]",
372,372,,1,1,10,"[""politician""]",
373,373,,2,2,5,"[""company""]",
374,374,,2,2,4,"[""government""]",
375,375,,45,45,1,"[""government""]",
376,376,,4,4,6,"[""tvshow""]",
377,377,,37,37,4,"[""government""]",
378,378,,10,10,1,"[""government""]",
379,379,,2,2,1,"[""company""]",
380,380,,10,10,2,"[""government""]",
381,381,,1,1,6,"[""tvshow""]",
382,382,,23,23,1,"[""government""]",
383,383,,32,32,10,"[""government""]",
384,384,,1,1,11,"[""company""]",
385,385,,11,11,6,"[""government""]",
386,386,,5,5,10,"[""government""]",
387,387,,8,8,9,"[""tvshow""]",
388,388,,7,7,11,"[""company""]",
389,389,,3,3,8,"[""politician""]",
390,390,,4,4,0,"[""tvshow""]",
391,391,,27,27,4,"[""government""]",
392,392,,20,20,0,"[""government""]",
393,393,,13,13,0,"[""tvshow""]",
394,394,,9,9,3,"[""company""]",
395,395,,31,31,3,"[""government""]",
396,396,,7,7,6,"[""tvshow""]",
397,397,,10,10,5,"[""tvshow""]",
398,398,,7,7,9,"[""politician""]",
399,399,,4,4,8,"[""company""]",
400,400,,15,15,1,"[""government""]",
401,401,,5,5,0,"[""company""]",
402,402,,40,40,10,"[""government""]",
403,403,,31,31,7,"[""politician""]",
404,404,,1,1,11,"[""government""]",
405,405,,49,49,3,"[""government""]",
406,406,,142,142,11,"[""government""]",
407,407,,78,78,4,"[""government""]",
408,408,,1,1,7,"[""company""]",
409,409,,1,1,0,"[""company""]",
410,410,,37,37,3,"[""tvshow""]",
411,411,,1,1,5,"[""company""]",
412,412,,34,34,9,"[""politician""]",
413,413,,7,7,7,"[""politician""]",
414,414,,5,5,7,"[""company""]",
415,415,,3,3,1,"[""government""]",
416,416,,2,2,3,"[""company""]",
417,417,,15,15,11,"[""politician""]",
418,418,,1,1,11,"[""government""]",
419,419,,2,2,10,"[""tvshow""]",
420,420,,15,15,2,"[""company""]",
421,421,,8,8,1,"[""company""]",
422,422,,1,1,9,"[""politician""]",
423,423,,2,2,2,"[""company""]",
424,424,,4,4,0,"[""government""]",
425,425,,6,6,0,"[""company""]",
426,426,,34,34,9,"[""government""]",
427,427,,1,1,5,"[""politician""]",
428,428,,1,1,11,"[""tvshow""]",
429,429,,2,2,5,"[""company""]",
430,430,,20,20,9,"[""government""]",
431,431,,8,8,3,"[""government""]",
432,432,,8,8,5,"[""government""]",
433,433,,1,1,6,"[""company""]",
434,434,,1,1,11,"[""tvshow""]",
435,435,,1,1,1,"[""politician""]",
436,436,,33,33,11,"[""government""]",
437,437,,17,17,4,"[""company""]",
438,438,,2,2,1,"[""politician""]",
439,439,,19,19,11,"[""company""]",
440,440,,7,7,9,"[""politician""]",
441,441,,7,7,10,"[""tvshow""]",
442,442,,4,4,3,"[""politician""]",
443,443,,1,1,7,"[""politician""]",
444,444,,3,3,6,"[""politician""]",
445,445,,3,3,7,"[""politician""]",
446,446,,2,2,2,"[""company""]",
447,447,,7,7,4,"[""politician""]",
448,448,,4,4,2,"[""politician""]",
449,449,,18,18,1,"[""tvshow""]",
450,450,,4,4,11,"[""tvshow""]",
451,451,,4,4,4,"[""tvshow""]",
452,452,,16,16,11,"[""tvshow""]",
453,453,,2,2,2,"[""politician""]",
454,454,,9,9,5,"[""company""]",
455,455,,3,3,4,"[""company""]",
456,456,,15,15,5,"[""politician""]",
457,457,,4,4,2,"[""politician""]",
458,458,,2,2,9,"[""government""]",
459,459,,9,9,7,"[""politician""]",
460,460,,4,4,11,"[""politician""]",
461,461,,1,1,10,"[""company""]",
462,462,,1,1,0,"[""company""]",
463,463,,10,10,7,"[""company""]",
464,464,,12,12,8,"[""company""]",
465,465,,2,2,11,"[""company""]",
466,466,,12,12,1,"[""politician""]",
467,467,,8,8,2,"[""company""]",
468,468,,1,1,1,"[""politician""]",
469,469,,8,8,4,"[""politician""]",
470,470,,17,17,4,"[""politician""]",
471,471,,1,1,1,"[""company""]",
472,472,,3,3,5,"[""company""]",
473,473,,1,1,10,"[""company""]",
474,474,,9,9,4,"[""government""]",
475,475,,1,1,1,"[""company""]",
476,476,,4,4,6,"[""politician""]",
477,477,,2,2,6,"[""company""]",
478,478,,80,80,4,"[""government""]",
479,479,,9,9,5,"[""politician""]",
480,480,,10,10,8,"[""company""]",
481,481,,97,97,4,"[""company""]",
482,482,,7,7,9,"[""tvshow""]",
483,483,,7,7,0,"[""company""]",
484,484,,12,12,0,"[""company""]",
485,485,,2,2,2,"[""politician""]",
486,486,,26,26,4,"[""government""]",
487,487,,14,14,1,"[""company""]",
488,488,,1,1,5,"[""politician""]",
489,489,,5,5,11,"[""company""]",
490,490,,9,9,10,"[""government""]",
491,491,,4,4,7,"[""politician""]",
492,492,,1,1,7,"[""politician""]",
493,493,,4,4,6,"[""company""]",
494,494,,27,27,4,"[""politician""]",
495,495,,42,42,3,"[""tvshow""]",
496,496,,244,244,4,"[""government""]",
497,497,,15,15,10,"[""company""]",
498,498,,4,4,1,"[""government""]",
499,499,,4,4,1,"[""tvshow""]",
500,500,,1,1,10,"[""company""]",
501,501,,15,15,1,"[""government""]",
502,502,,15,15,3,"[""politician""]",
503,503,,1,1,4,"[""company""]",
504,504,,13,13,8,"[""government""]",
505,505,,12,12,10,"[""government""]",
506,506,,1,1,2,"[""company""]",
507,507,,37,37,2,"[""tvshow""]",
508,508,,5,5,5,"[""government""]",
509,509,,13,13,1,"[""company""]",
510,510,,22,22,3,"[""politician""]",
511,511,,20,20,4,"[""politician""]",
512,512,,8,8,0,"[""tvshow""]",
513,513,,12,12,2,"[""company""]",
514,514,,32,32,7,"[""government""]",
515,515,,2,2,5,"[""politician""]",
516,516,,17,17,7,"[""company""]",
517,517,,14,14,5,"[""government""]",
518,518,,7,7,0,"[""politician""]",
519,519,,4,4,8,"[""company""]",
520,520,,2,2,4,"[""company""]",
521,521,,8,8,5,"[""company""]",
522,522,,110,110,2,"[""government""]",
523,523,,2,2,8,"[""politician""]",
524,524,,10,10,8,"[""government""]",
525,525,,12,12,4,"[""government""]",
526,526,,26,26,8,"[""tvshow""]",
527,527,,2,2,7,"[""politician""]",
528,528,,13,13,10,"[""politician""]",
529,529,,3,3,8,"[""tvshow""]",
530,530,,4,4,7,"[""government""]",
531,531,,6,6,5,"[""company""]",
532,532,,7,7,4,"[""politician""]",
533,533,,8,8,0,"[""company""]",
534,534,,6,6,1,"[""government""]",
535,535,,17,17,8,"[""politician""]",
536,536,,38,38,3,"[""government""]",
537,537,,4,4,1,"[""government""]",
538,538,,15,15,9,"[""politician""]",
539,539,,3,3,7,"[""company""]",
540,540,,6,6,6,"[""company""]",
541,541,,3,3,3,"[""politician""]",
542,542,,17,17,9,"[""politician""]",
543,543,,8,8,7,"[""politician""]",
544,544,,3,3,0,"[""government""]",
545,545,,4,4,7,"[""tvshow""]",
546,546,,9,9,7,"[""government""]",
547,547,,1,1,8,"[""company""]",
548,548,,21,21,8,"[""government""]",
549,549,,1,1,0,"[""politician""]",
550,550,,36,36,4,"[""tvshow""]",
551,551,,29,29,11,"[""government""]",
552,552,,15,15,9,"[""politician""]",
553,553,,5,5,0,"[""politician""]",
554,554,,28,28,5,"[""politician""]",
555,555,,6,6,5,"[""company""]",
556,556,,3,3,8,"[""politician""]",
557,557,,4,4,1,"[""politician""]",
558,558,,2,2,2,"[""tvshow""]",
559,559,,37,37,6,"[""government""]",
560,560,,59,59,8,"[""government""]",
561,561,,4,4,5,"[""company""]",
562,562,,24,24,10,"[""politician""]",
563,563,,7,7,7,"[""company""]",
564,564,,2,2,10,"[""politician""]",
565,565,,1,1,8,"[""government""]",
566,566,,2,2,5,"[""company""]",
567,567,,50,50,2,"[""government""]",
568,568,,60,60,5,"[""tvshow""]",
569,569,,1,1,3,"[""company""]",
570,570,,4,4,0,"[""government""]",
571,571,,12,12,0,"[""government""]",
572,572,,14,14,4,"[""government""]",
573,573,,4,4,6,"[""tvshow""]",
574,574,,5,5,1,"[""company""]",
575,575,,4,4,5,"[""politician""]",
576,576,,1,1,2,"[""tvshow""]",
577,577,,5,5,10,"[""politician""]",
578,578,,8,8,11,"[""government""]",
579,579,,1,1,0,"[""company""]",
580,580,,17,17,11,"[""tvshow""]",
581,581,,1,1,9,"[""politician""]",
582,582,,14,14,7,"[""government""]",
583,583,,18,18,5,"[""politician""]",
584,584,,1,1,4,"[""tvshow""]",
585,585,,21,21,5,"[""government""]",
586,586,,11,11,1,"[""government""]",
587,587,,4,4,3,"[""company""]",
588,588,,2,2,9,"[""politician""]",
589,589,,9,9,4,"[""politician""]",
590,590,,8,8,8,"[""company""]",
591,591,,21,21,4,"[""government""]",
592,592,,25,25,11,"[""government""]",
593,593,,18,18,10,"[""politician""]",
594,594,,18,18,0,"[""politician""]",
595,595,,16,16,1,"[""government""]",
596,596,,2,2,5,"[""company""]",
597,597,,8,8,8,"[""tvshow""]",
598,598,,4,4,5,"[""tvshow""]",
599,599,,2,2,6,"[""company""]",
600,600,,32,32,5,"[""politician""]",
601,601,,17,17,3,"[""politician""]",
602,602,,4,4,6,"[""company""]",
603,603,,6,6,7,"[""company""]",
604,604,,18,18,1,"[""government""]",
605,605,,1,1,5,"[""company""]",
606,606,,16,16,0,"[""politician""]",
607,607,,1,1,7,"[""company""]",
608,608,,25,25,7,"[""tvshow""]",
609,609,,4,4,7,"[""politician""]",
610,610,,12,12,4,"[""company""]",
611,611,,1,1,2,"[""government""]",
612,612,,1,1,5,"[""tvshow""]",
613,613,,51,51,2,"[""government""]",
614,614,,76,76,10,"[""government""]",
615,615,,12,12,9,"[""company""]",
616,616,,1,1,5,"[""politician""]",
617,617,,2,2,5,"[""politician""]",
618,618,,1,1,5,"[""company""]",
619,619,,4,4,10,"[""politician""]",
620,620,,25,25,2,"[""government""]",
621,621,,6,6,10,"[""politician""]",
622,622,,53,53,1,"[""government""]",
623,623,,9,9,3,"[""government""]",
624,624,,4,4,4,"[""government""]",
625,625,,7,7,2,"[""company""]",
626,626,,6,6,10,"[""government""]",
627,627,,11,11,10,"[""government""]",
628,628,,3,3,5,"[""company""]",
629,629,,1,1,2,"[""company""]",
630,630,,16,16,6,"[""government""]",
631,631,,14,14,3,"[""politician""]",
632,632,,32,32,9,"[""politician""]",
633,633,,3,3,8,"[""tvshow""]",
634,634,,5,5,3,"[""company""]",
635,635,,11,11,0,"[""government""]",
636,636,,1,1,3,"[""company""]",
637,637,,7,7,9,"[""tvshow""]",
638,638,,4,4,3,"[""government""]",
639,639,,4,4,11,"[""politician""]",
640,640,,2,2,3,"[""company""]",
641,641,,7,7,4,"[""tvshow""]",
642,642,,4,4,10,"[""company""]",
643,643,,11,11,5,"[""politician""]",
644,644,,4,4,0,"[""company""]",
645,645,,7,7,5,"[""politician""]",
646,646,,17,17,3,"[""company""]",
647,647,,27,27,11,"[""politician""]",
648,648,,11,11,7,"[""company""]",
649,649,,4,4,0,"[""company""]",
650,650,,1,1,0,"[""company""]",
651,651,,6,6,5,"[""politician""]",
652,652,,11,11,11,"[""tvshow""]",
653,653,,1,1,2,"[""tvshow""]",
654,654,,7,7,1,"[""company""]",
655,655,,27,27,10,"[""company""]",
656,656,,12,12,10,"[""politician""]",
657,657,,13,13,3,"[""tvshow""]",
658,658,,1,1,3,"[""politician""]",
659,659,,24,24,0,"[""government""]",
660,660,,46,46,5,"[""government""]",
661,661,,8,8,4,"[""tvshow""]",
662,662,,2,2,7,"[""tvshow""]",
663,663,,12,12,0,"[""government""]",
664,664,,51,51,9,"[""government""]",
665,665,,5,5,7,"[""company""]",
666,666,,38,38,6,"[""government""]",
667,667,,1,1,7,"[""politician""]",
668,668,,6,6,4,"[""company""]",
669,669,,21,21,4,"[""tvshow""]",
670,670,,6,6,4,"[""company""]",
671,671,,2,2,5,"[""politician""]",
672,672,,22,22,0,"[""company""]",
673,673,,2,2,7,"[""company""]",
674,674,,2,2,5,"[""company""]",
675,675,,28,28,2,"[""government""]",
676,676,,2,2,9,"[""tvshow""]",
677,677,,1,1,8,"[""politician""]",
678,678,,4,4,8,"[""government""]",
679,679,,79,79,0,"[""government""]",
680,680,,1,1,7,"[""company""]",
681,681,,4,4,10,"[""tvshow""]",
682,682,,38,38,2,"[""company""]",
683,683,,2,2,0,"[""government""]",
684,684,,36,36,8,"[""tvshow""]",
685,685,,20,20,3,"[""government""]",
686,686,,11,11,1,"[""company""]",
687,687,,2,2,6,"[""government""]",
688,688,,37,37,9,"[""company""]",
689,689,,13,13,9,"[""politician""]",
690,690,,22,22,7,"[""politician""]",
691,691,,2,2,11,"[""company""]",
692,692,,4,4,6,"[""company""]",
693,693,,3,3,4,"[""company""]",
694,694,,22,22,2,"[""government""]",
695,695,,12,12,9,"[""government""]",
696,696,,6,6,6,"[""politician""]",
697,697,,16,16,9,"[""government""]",
698,698,,11,11,7,"[""government""]",
699,699,,8,8,2,"[""company""]",
700,700,,6,6,10,"[""tvshow""]",
701,701,,380,380,10,"[""company""]",
702,702,,24,24,4,"[""politician""]",
703,703,,7,7,4,"[""government""]",
704,704,,6,6,2,"[""politician""]",
705,705,,3,3,9,"[""company""]",
706,706,,2,2,4,"[""company""]",
707,707,,1,1,7,"[""politician""]",
708,708,,3,3,3,"[""company""]",
